date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
1998-05-13,0.3771,0.39165,0.37395,0.38699999999999996,278879988,92.88,1.65,306755986.8
1998-05-14,0.38335,0.39425,0.37915,0.3815,172007993,91.56,-1.42,299111987.15
1998-05-15,0.3828,0.38539999999999996,0.37289999999999995,0.37345,92567996,89.628,-2.12,296704787.25
1998-05-18,0.375,0.3776,0.36145,0.36695,132359994,88.068,-1.74,294343187.35
1998-05-19,0.37345,0.3776,0.3719,0.37655,68471997,90.372,2.64,289412387.55
1998-05-20,0.37655,0.38125,0.3677,0.36925,80975997,88.62,-1.94,282159587.9
1998-05-21,0.37289999999999995,0.375,0.3638,0.36979999999999996,68063997,88.752,0.14,273273588.3
1998-05-22,0.36824999999999997,0.36925,0.35625,0.35835,117239995,86.004,-3.11,262349988.75
1998-05-26,0.3586,0.362,0.33699999999999997,0.34115,217679991,81.876,-4.8,254348389.1
1998-05-27,0.33490000000000003,0.36405,0.3323,0.36095,464687980,86.628,5.8,207988791.1
1998-05-28,0.36355,0.3656,0.3552,0.35805,188255992,85.932,-0.78,188714391.95
1998-05-29,0.3578,0.37085,0.35625,0.36719999999999997,172823993,88.128,2.54,174869992.55
1998-06-01,0.36665,0.36875,0.34715,0.35675,160871993,85.62,-2.83,173606392.6
1998-06-02,0.3635333333333334,0.37083333333333335,0.3458333333333333,0.3640666666666667,164027993,43.688,2.05,174072592.6
1998-06-03,0.37396666666666667,0.3771,0.35,0.3521,131627994,42.252,-3.3,174655192.55
1998-06-04,0.3578,0.3661333333333333,0.34376666666666666,0.3656333333333333,99911996,43.876,3.83,172211992.65
1998-06-05,0.36460000000000004,0.36979999999999996,0.35936666666666667,0.3687666666666667,68543997,44.252,0.88,161751593.1
1998-06-08,0.3651,0.3859333333333333,0.3625,0.38543333333333335,109259995,46.252,4.5,162421793.05
1998-06-09,0.3869666666666667,0.43229999999999996,0.38543333333333335,0.42710000000000004,388727983,51.252,10.82,170485792.7
1998-06-10,0.4302,0.46876666666666666,0.425,0.45103333333333334,485699979,54.124,5.6,183134392.15
1998-06-11,0.46043333333333336,0.5218666666666667,0.4583333333333333,0.5208333333333334,717023969,62.5,15.48,205041591.2
1998-06-12,0.5291666666666667,0.5291666666666667,0.48543333333333333,0.5083333333333333,433115981,61.0,-2.4,218096990.6
1998-06-15,0.49583333333333335,0.5708333333333333,0.4927,0.5479333333333333,674027971,65.752,7.79,247169989.35
1998-06-16,0.5562666666666666,0.6145999999999999,0.5541666666666667,0.6135333333333333,783347966,73.624,11.97,279719387.95
1998-06-17,0.6323000000000001,0.6765666666666666,0.6281333333333333,0.6583333333333333,805307965,79.0,7.3,316561186.35
1998-06-18,0.675,0.6875,0.5979,0.5994666666666667,632795973,71.936,-8.93,344152185.15
1998-06-19,0.5922,0.6354333333333333,0.5666666666666667,0.6317666666666666,733571968,75.812,5.39,377427583.7
1998-06-22,0.6229333333333333,0.6864666666666667,0.6021,0.6781333333333334,726239969,81.376,7.33,407877582.4
1998-06-23,0.6755333333333333,0.7729,0.6708333333333333,0.7724,749267968,92.688,13.91,434456981.25
1998-06-24,0.7916666666666666,0.8395999999999999,0.7426999999999999,0.8317666666666667,1174163950,99.812,7.69,469930779.75
